ZONA,MUNICÍPIO,NOME_LOCAL,ENDEREÇO_LOCAL,BAIRRO_LOCAL,CEP,NÚMERO_DAS_SEÇÕES,SEÇÕES,APTOS
1,SALVADOR,CABANA DA BARRA,AV. AFONSO CELSO 1 - ZONA URBANA,BARRA,40140080,"40,41,272,275,320",5,2202
1,SALVADOR,BAHIA BRITSH CLUB (CLUBE INGLÊS),RUA BANCO DOS INGLESES 20 - ZONA URBANA,CAMPO GRANDE,40080040,"61,70,71,72,73,74",6,2071
1,SALVADOR,COLÉGIO ESTADUAL DEPUTADO MANOEL NOVAES,"AV. ARAÚJO PINHO, 30 - ZONA URBANA",CANELA,40110150,"42,43,44,45,75,76,77,78,92,93,94,95,96,103,123,124,132,133,134,326,339",21,6584
1,SALVADOR,PAVILHÃO DE AULAS DO CANELA - UFBA,"RUA REITOR MIGUEL CALMON, S/N- ZONA URBANA",CANELA,40110904,"11,12,13,14,15,16,80,81,82,83,84,220,221",13,3987
1,SALVADOR,ESCOLA DE BELAS ARTES,AV. ARAÚJO PINHO 212 - ZONA URBANA,CANELA,40110150,"24,35,36,37,38,89,90,91",8,2695
1,SALVADOR,FACULDADE DE DIREITO DA UFBA,RUA DA PAZ S/N - ZONA URBANA,GRAÇA,40150140,"29,30,31,32,33,34,62,63,98,99,100,101,102,222,223,224,232,240,241,325",20,7590
1,SALVADOR,FACULDADE DE EDUCAÇÃO DA UFBA,"RUA REITOR MIGUEL CALMON, S/N - ZONA URBANA",CANELA,40110904,"17,18,19,20,242,243,244,245,246,283",10,2915
1,SALVADOR,ESCOLA SANTA TEREZINHA,"RUA DEOCLECIANO, N 09 - ZONA URBANA",CHAME-CHAME,40150400,104.105.106.248,4,1783
1,SALVADOR,ESCOLA DE ADMINISTRAÇÃO DA UFBA,"RUA REITOR MIGUEL CALMON, S/Nº - ZONA URBANA",CANELA,40110100,"202,203,204,205,206,207,208,315,327,328,330,332,333,336",14,4794
1,SALVADOR,ASSOCIAÇÃO CIVIL CASA D'ITÁLIA,AV. SETE DE SETEMBRO 1238 - ZONA URBANA,CAMPO GRANDE,40080121,"27,28,234,235,236",5,2224
1,SALVADOR,ESCOLA DE NUTRIÇÃO DA UFBA,"RUA ARAÚJO PINHO, 32 - ZONA URBANA",CANELA,40110150,"9,10,25,26,227,228,229,230,231,237,238,239,329",13,3938
1,SALVADOR,ASSOCIAÇÃO ATLÉTICA DA BAHIA,"RUA BARÃO DE ITAPUÃ, N 218 - ZONA URBANA",BARRA,40140060,"270,273,276,280,281,282,314,321,324,340,341,342,343",13,5757
1,SALVADOR,COLÉGIO DO SS SACRAMENTO - SACRAMENTINAS,"AV LEOVIGILDO FILGUEIRAS, N 1211 - ZONA URBANA",GARCIA,40100000,"344,345,346,347,348,349,350",7,2402
1,SALVADOR,COLÉGIO ANTÔNIO VIEIRA,AV. LEOVIGILDO FILGUEIRAS 683 - ZONA URBANA,GARCIA,40100000,"357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380",24,7102
1,SALVADOR,CENTRO EDUCACIONAL EDGARD SANTOS,RUA PREDILIANO PITA S/N - ZONA URBANA,GARCIA,40100200,"381,382,383,384,385,386,387,388,389,390,391,392,393",13,4561
1,SALVADOR,COLÉGIO NOSSA SENHORA DAS MERCÊS,"AVENIDA SETE DE SETEMBRO, N 1105 - ZONA URBANA",POLITEAMA,40060000,409.410.411.412.413,5,1986
1,SALVADOR,ESCOLA MUNICIPAL HILDETE LOMANTO,RUA PREDILIANO PITTA 01 - ZONA URBANA,GARCIA,40100200,"419,420,421,422,423,425",6,2026
1,SALVADOR,SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA - SFA,"LARGO DOS AFLITOS,S/N, ED. CERES - ZONA URBANA",AFLITOS,40060030,439.442.443.444,4,1406
1,SALVADOR,ESCOLA ESTADUAL AZEVEDO FERNANDES,"LARGO DO PELOURINHO, 11 - ZONA URBANA",PELOURINHO,40026280,449.450.451.452,4,1381
1,SALVADOR,ESCOLA MUNICIPAL VIVALDO DA COSTA LIMA,"RUA DO PASSO, N 57 - LARGO DO CARMO - ZONA URBANA",PELOURINHO,40301408,457,1,400
1,SALVADOR,COLÉGIO DE SÃO BENTO,"RUA DO PARAISO, 149 - ZONA URBANA",SÃO PEDRO,40040000,"465,466,467,468,469,470",6,1986
1,SALVADOR,FACULDADE DE CIÊNCIAS ECONÔMICAS DA UFBA,"PRAÇA DA PIEDADE, 13 - ZONA URBANA",PIEDADE,40060300,441.475.476.477,4,1174
1,SALVADOR,CLUBE ESPANHOL,"AV OCEÂNICA, 1404 - ZONA URBANA",BARRA,40150140,"1,2,3,4,5,6,7,59,60,64,65,225",12,5331
2,SALVADOR,COLÉGIO MANOEL DEVOTO,RUA OSWALDO CRUZ S/N - ZONA URBANA,RIO VERMELHO,41940000,"7,8,9,10,11,12,13,14,15,333,343,349,350,353,354,358,359,360,362,363,364,366,371,379,387,390,397,398,399,401,506",31,12033
2,SALVADOR,ESCOLA OSWALDO CRUZ,"RUA DO MEIO, N 13 - ZONA URBANA",RIO VERMELHO,41940426,"40,41,42,43,44,273,356,509",8,2521
2,SALVADOR,ESCOLA ALFREDO MAGALHÃES,RUA IPIRÁ S/N - ZONA URBANA,RIO VERMELHO,41940230,"45,46,49,50,51,52,274,320,327,347,367,380,385,393,395,508",16,3946
2,SALVADOR,COLÉGIO ESTADUAL EURICLES DE MATOS,RUA OSWALDO CRUZ 16 - ZONA URBANA,RIO VERMELHO,41940000,"21,31,32,33,34,35,309,337,361,377,382,386,551",13,3934
2,SALVADOR,ESCOLA MÁRIO COSTA NETO,RUA ENG. JAIME ZAVERUCHA S/N - ZONA URBANA,PARQUE SÃO BRÁS,40230320,"404,405,406,407,408,409,410,411",8,3534
2,SALVADOR,CEEBA - CENTRO DE EDUCAÇÃO ESPECIAL DA BAHIA,"RUA RAYMUNDO PEREIRA DE MAGALHÃES, S/N - ZONA URBANA",ONDINA,40170155,"412,413,414,415,416,417,418,419,420,421,422,423,424,550",14,3959
2,SALVADOR,ESCOLA ESTADUAL IACY VAZ FAGUNDES,"RUA SÉRGIO DE CARVALHO,128-E - ZONA URBANA",FEDERAÇÃO,40230680,"430,431,432,433,434,545,548,554",8,3379
2,SALVADOR,UNIVERSIDADE CATÓLICA DO SALVADOR (UCSAL),"AVENIDA CARDEAL DA SILVA, 205 - ZONA URBANA",FEDERAÇÃO,40231250,"455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,547",17,5969
2,SALVADOR,ESCOLA MUNICIPAL CIDADE DE JEQUIÉ,AV. CARDEAL DA SILVA 152 - ZONA URBANA,FEDERAÇÃO,40220141,"471,472,473,474,475,476",6,2662
2,SALVADOR,COLÉGIO ESTADUAL EVARISTO DA VÊIGA,AV. GARIBALDI 393 - ZONA URBANA,ONDINA,40170130,"435,477,478,479,480,481,482,483,484,485,486,487,488,489,546",15,6620
2,SALVADOR,COLÉGIO ESTADUAL HENRIQUETA MARTINS CATHARINO,"RUA HENRIQUETA MARTINS CATHARINO,158 - ZONA URBANA",FEDERAÇÃO,40230101,"425,490,491,492,493,494,495,496,497,498,499,549,552",13,5482
2,SALVADOR,ESCOLA MEDALHA MILAGROSA,TV. LÍDIO MESQUITA 15 - ZONA URBANA,RIO VERMELHO,41950420,500.501.502.503.504,5,2173
2,SALVADOR,FACULDADE DE ARQUITETURA DA UFBA,RUA CAETANO MOURA 121 - ZONA URBANA,FEDERAÇÃO,40210905,"511,512,513,514,515,516,517,518,519,520,521,522,536,553",14,5295
2,SALVADOR,ESCOLA POLITÉCNICA UFBA,"RUA PROFESSOR ARISTIDES NOVIS, N 02 - ZONA URBANA",FEDERAÇÃO,40170160,"523,524,525,526,527,528,529,530,531,532,533,534,535",13,5420
2,SALVADOR,ESCOLA MUNICIPAL CASA DA AMIZADE,"RUA QUINTINO DE CARVALHO, 277 - ZONA URBANA",ONDINA,40155280,"537,538,539,540,541,542,543,544",8,2304
2,SALVADOR,UFBA - ONDINA - PAVILHÃO DE AULAS - PAF 1,"AV. MILTON SANTOS (ANTIGA AV. ADHEMAR DE BARROS), S/N - ZONA URBANA",ONDINA,40170110,"103,104,105,106,107,108,427,428,429,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454",28,9426
2,SALVADOR,UFBA - ONDINA - PAVILHÃO DE AULAS - PAF 3,"AV. MILTON SANTOS (ANTIGA AV. ADHEMAR DE BARROS), S/N - ZONA URBANA",ONDINA,40170110,"16,17,18,19,20,22,23,24,25,26,27,28,29,30,47,48,101,102,109,110,111,112,113,114,115,116,117,142,310,338,375,383,392,403,
505",35,12542
3,SALVADOR,CECR - CLASSE I,"RUA DO PERO VAZ, 148 - ZONA URBANA",PERO VAZ,40335000,"166,285,287,289,293,298,305,329,333,350,353,355,594",13,5793
3,SALVADOR,CECR - CLASSE II,"RUA VÍTOR SERRA, FIM DE LINHA DO PERO VAZ - ZONA URBANA",PERO VAZ,40340290,"129,130,131,132,133,134,135,136,137,138,139,151,596,607",14,6242
3,SALVADOR,COLÉGIO ESTADUAL ÁLVARO AUGUSTO DA SILVA,RUA CONDE DE PORTO ALEGRE 106 - ZONA URBANA,IAPI,40330200,"229,230,231,232,233,234,235,332,334",9,4007
3,SALVADOR,ESCOLA MUNICIPAL CARDEAL DA SILVA,"RUA DO LIMITE, 140 IAPI - ZONA URBANA",IAPI,40330515,"236,237,238,239,240,241,242,243,244,245,246,247,248,331",14,4435
3,SALVADOR,SESI-RETIRO - ESCOLA REITOR MIGUEL CALMON,PRAÇA VISCONDE DE MONTE ALEGRE S/N LARGO DO RETIRO - ZONA URBANA,FAZENDA GRANDE DO RETIRO,40354190,"249,250,251,252,253,254,255,256,257,258,259,260,261,301,307",15,5370
3,SALVADOR,COLÉGIO ESTADUAL HELENA CELESTINO MAGALHÃES,"RUA DESEMBARGADOR JOSÉ MACIEL DOS SANTOS, S/N, IAPI - ZONA URBANA",IAPI,40330475,"354,356,357,358,359,364,597,600,605",9,3226
3,SALVADOR,CENTRO EDUCACIONAL EMMANUEL KANT,"RUA CONDE PORTO ALEGRE, 154 - ZONA URBANA",IAPI,40330200,"360,361,363,365,465,467,583,585,587,589,592",11,4914
3,SALVADOR,COLÉGIO ESTADUAL MARQUÊS DE MARICÁ,RUA MARQUÊS DE MARICÁ S/N - ZONA URBANA,PAU MIÚDO,40310000,"380,381,382,383,384,385,386,387,388,389",10,4472
