Zona,Escolaridade,Gênero,Faixa etária,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
1,ANALFABETO,FEMININO,21 a 24 anos,1,0,0,0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,25 a 29 anos,2,1,"0,5",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,30 a 34 anos,4,3,"0,75",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,35 a 39 anos,2,1,"0,5",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,40 a 44 anos,5,4,"0,8",0,1,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,45 a 49 anos,6,5,"0,8333",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,50 a 54 anos,12,9,"0,75",0,3,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,55 a 59 anos,7,7,1,0,1,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,60 a 64 anos,22,21,"0,9545",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,65 a 69 anos,19,13,"0,6842",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,70 a 74 anos,16,16,1,0,1,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,75 a 79 anos,14,13,"0,9286",0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,80 a 84 anos,5,5,1,0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,85 a 89 anos,3,3,1,0,0,2022-07-11 22:32:34
1,ANALFABETO,FEMININO,90 a 94 anos,3,1,"0,3333",0,1,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,19 anos,3,1,"0,3333",0,2,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,20 anos,1,0,0,0,1,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,21 a 24 anos,2,1,"0,5",0,0,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,25 a 29 anos,2,1,"0,5",0,1,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,30 a 34 anos,5,3,"0,6",0,2,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,35 a 39 anos,7,6,"0,8571",0,0,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,40 a 44 anos,5,4,"0,8",0,0,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,45 a 49 anos,14,14,1,0,1,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,50 a 54 anos,12,10,"0,8333",0,2,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,55 a 59 anos,19,17,"0,8947",0,2,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,60 a 64 anos,16,14,"0,875",0,2,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,65 a 69 anos,13,8,"0,6154",0,0,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,70 a 74 anos,11,11,1,0,1,2022-07-11 22:32:34
1,ANALFABETO,MASCULINO,75 a 79 anos,2,2,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,100 anos ou mais,1,1,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,16 anos,18,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,17 anos,7,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,18 anos,7,0,0,1,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,19 anos,13,2,"0,1538",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,20 anos,4,2,"0,5",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,21 a 24 anos,24,16,"0,6667",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,25 a 29 anos,34,30,"0,8824",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,30 a 34 anos,38,38,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,35 a 39 anos,60,58,"0,9667",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,40 a 44 anos,68,66,"0,9706",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,45 a 49 anos,94,91,"0,9681",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,50 a 54 anos,97,93,"0,9588",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,55 a 59 anos,102,102,1,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,60 a 64 anos,125,124,"0,992",0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,65 a 69 anos,120,120,1,0,5,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,70 a 74 anos,99,96,"0,9697",0,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,75 a 79 anos,81,79,"0,9753",0,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,80 a 84 anos,84,80,"0,9524",0,5,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,85 a 89 anos,52,52,1,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,90 a 94 anos,39,37,"0,9487",0,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,FEMININO,95 a 99 anos,12,11,"0,9167",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,16 anos,4,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,17 anos,8,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,18 anos,2,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,19 anos,8,3,"0,375",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,20 anos,7,3,"0,4286",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,21 a 24 anos,36,31,"0,8611",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,25 a 29 anos,43,40,"0,9302",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,30 a 34 anos,37,36,"0,973",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,35 a 39 anos,67,64,"0,9552",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,40 a 44 anos,95,93,"0,9789",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,45 a 49 anos,99,92,"0,9293",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,50 a 54 anos,104,102,"0,9808",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,55 a 59 anos,120,115,"0,9583",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,60 a 64 anos,122,113,"0,9262",1,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,65 a 69 anos,87,84,"0,9655",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,70 a 74 anos,80,79,"0,9875",0,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,75 a 79 anos,38,36,"0,9474",0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,80 a 84 anos,27,27,1,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,85 a 89 anos,17,17,1,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,90 a 94 anos,2,2,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL COMPLETO,MASCULINO,95 a 99 anos,3,3,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,16 anos,12,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,17 anos,7,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,18 anos,8,2,"0,25",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,19 anos,19,4,"0,2105",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,20 anos,14,9,"0,6429",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,21 a 24 anos,126,110,"0,873",1,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,25 a 29 anos,179,169,"0,9441",1,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,30 a 34 anos,137,135,"0,9854",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,35 a 39 anos,191,185,"0,9686",0,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,40 a 44 anos,265,261,"0,9849",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,45 a 49 anos,321,315,"0,9813",0,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,50 a 54 anos,362,358,"0,989",0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,55 a 59 anos,327,322,"0,9847",0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,60 a 64 anos,299,296,"0,99",0,9,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,65 a 69 anos,251,248,"0,988",0,7,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,70 a 74 anos,203,201,"0,9901",0,9,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,75 a 79 anos,137,133,"0,9708",0,7,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,80 a 84 anos,93,91,"0,9785",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,85 a 89 anos,57,56,"0,9825",0,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,90 a 94 anos,26,24,"0,9231",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,95 a 99 anos,20,19,"0,95",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,16 anos,12,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,17 anos,14,0,0,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,18 anos,13,0,0,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,19 anos,22,10,"0,4545",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,20 anos,20,11,"0,55",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,21 a 24 anos,161,145,"0,9006",1,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,25 a 29 anos,199,191,"0,9598",0,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,30 a 34 anos,157,146,"0,9299",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,35 a 39 anos,220,205,"0,9318",1,2,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,40 a 44 anos,259,242,"0,9344",1,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,45 a 49 anos,256,245,"0,957",0,6,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,50 a 54 anos,297,288,"0,9697",0,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,55 a 59 anos,283,271,"0,9576",0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,60 a 64 anos,244,234,"0,959",0,4,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,65 a 69 anos,165,159,"0,9636",0,12,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,70 a 74 anos,100,100,1,0,3,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,75 a 79 anos,60,59,"0,9833",0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,80 a 84 anos,29,28,"0,9655",0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,85 a 89 anos,15,15,1,0,1,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,90 a 94 anos,3,3,1,0,0,2022-07-11 22:32:34
1,ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,95 a 99 anos,3,3,1,0,0,2022-07-11 22:32:34
1,ENSINO MÉDIO COMPLETO,FEMININO,100 anos ou mais,4,4,1,0,0,2022-07-11 22:32:34
