Ano de eleição,Escolaridade,Estado civil,Faixa etária,Gênero,Local de votação,Município,Número local de votação,País,Região,Tipo de deficiência,UF,Zona,Quantidade de eleitores,Data de carga
2022,ANALFABETO,CASADO,25 a 29 anos,FEMININO,ESCOLA ESTADUAL IACY VAZ FAGUNDES,SALVADOR,1740,Brasil,NORDESTE,DIFICULDADE PARA O EXERCÍCIO DO VOTO,BA,2,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,30 a 34 anos,MASCULINO,BAHIA BRITSH CLUB (CLUBE INGLÊS),SALVADOR,1066,Brasil,NORDESTE,OUTROS,BA,1,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,35 a 39 anos,FEMININO,ESCOLA MUNICIPAL DEPUTADO GERSINO COELHO,SALVADOR,1198,Brasil,NORDESTE,DEFICIÊNCIA DE LOCOMOÇÃO,BA,16,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,35 a 39 anos,FEMININO,ESCOLA MUNICIPAL DEPUTADO GERSINO COELHO,SALVADOR,1198,Brasil,NORDESTE,OUTROS,BA,16,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,35 a 39 anos,MASCULINO,ESCOLA MUNICIPAL DA PALESTINA,SALVADOR,1422,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,8,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,45 a 49 anos,MASCULINO,COLÉGIO ESTADUAL CLÉRISTON ANDRADE,SALVADOR,1856,Brasil,NORDESTE,DEFICIÊNCIA AUDITIVA,BA,17,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,45 a 49 anos,MASCULINO,COLÉGIO ESTADUAL JOÃO BATISTA CARIBÉ,SALVADOR,1422,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,4,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,45 a 49 anos,MASCULINO,ESCOLA COMUNITÁRIA REGINA STUKENBORG,SALVADOR,2208,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,8,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,FEMININO,ASSOCIAÇÃO ATLÉTICA DA BAHIA,SALVADOR,1767,Brasil,NORDESTE,OUTROS,BA,1,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,FEMININO,COLÉGIO ESTADUAL PRINCESA IZABEL,SALVADOR,1490,Brasil,NORDESTE,DEFICIÊNCIA DE LOCOMOÇÃO,BA,3,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,FEMININO,ESCOLA MUNICIPAL SÃO GONÇALO DO RETIRO,SALVADOR,1473,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,5,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,MASCULINO,COLÉGIO ESTADUAL DONA LEONOR CALMON,SALVADOR,1708,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,19,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,MASCULINO,ESCOLA ESTADUAL NORMA RIBEIRO,SALVADOR,1864,Brasil,NORDESTE,DEFICIÊNCIA DE LOCOMOÇÃO,BA,14,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,MASCULINO,ESCOLA MUNICIPAL DE FAZENDA COUTOS,SALVADOR,1481,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,4,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,50 a 54 anos,MASCULINO,ESCOLA MUNICIPAL DE FAZENDA COUTOS,SALVADOR,1481,Brasil,NORDESTE,DIFICULDADE PARA O EXERCÍCIO DO VOTO,BA,4,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,55 a 59 anos,FEMININO,COLÉGIO ESTADUAL RUBEN DARIO,SALVADOR,1597,Brasil,NORDESTE,DIFICULDADE PARA O EXERCÍCIO DO VOTO,BA,3,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,55 a 59 anos,FEMININO,COLÉGIO MODELO LUÍS EDUARDO MAGALHÃES,SALVADOR,1651,Brasil,NORDESTE,DEFICIÊNCIA VISUAL,BA,3,1,2022-07-12 07:13:34
2022,ANALFABETO,CASADO,55 a 59 anos,FEMININO,ESCOLA MUNICIPAL AFRÂNIO PEIXOTO,SALVADOR,1848,Brasil,NORDESTE,DIFICULDADE PARA O EXERCÍCIO DO VOTO,BA,11,1,2022-07-12 07:13:34
