Escolaridade,Faixa etária,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
ANALFABETO,100 anos ou mais,6313,858,"0,1359",0,46,2022-07-11 22:32:34
ANALFABETO,16 anos,102,0,0,0,36,2022-07-11 22:32:34
ANALFABETO,17 anos,168,0,0,0,44,2022-07-11 22:32:34
ANALFABETO,18 anos,309,75,"0,2427",0,101,2022-07-11 22:32:34
ANALFABETO,19 anos,438,241,"0,5502",0,107,2022-07-11 22:32:34
ANALFABETO,20 anos,531,348,"0,6554",1,121,2022-07-11 22:32:34
ANALFABETO,21 a 24 anos,3203,2646,"0,8261",3,562,2022-07-11 22:32:34
ANALFABETO,25 a 29 anos,6047,4848,"0,8017",0,884,2022-07-11 22:32:34
ANALFABETO,30 a 34 anos,9370,7326,"0,7819",1,929,2022-07-11 22:32:34
ANALFABETO,35 a 39 anos,21221,17047,"0,8033",0,1023,2022-07-11 22:32:34
ANALFABETO,40 a 44 anos,44274,36670,"0,8283",2,1080,2022-07-11 22:32:34
ANALFABETO,45 a 49 anos,60138,50369,"0,8376",4,1218,2022-07-11 22:32:34
ANALFABETO,50 a 54 anos,73386,62698,"0,8544",3,1260,2022-07-11 22:32:34
ANALFABETO,55 a 59 anos,83844,73544,"0,8772",6,1294,2022-07-11 22:32:34
ANALFABETO,60 a 64 anos,81099,72783,"0,8975",1,1233,2022-07-11 22:32:34
ANALFABETO,65 a 69 anos,83855,74221,"0,8851",2,1213,2022-07-11 22:32:34
ANALFABETO,70 a 74 anos,89076,73623,"0,8265",0,1098,2022-07-11 22:32:34
ANALFABETO,75 a 79 anos,78097,55297,"0,7081",0,757,2022-07-11 22:32:34
ANALFABETO,80 a 84 anos,61164,36014,"0,5888",1,565,2022-07-11 22:32:34
ANALFABETO,85 a 89 anos,36303,16466,"0,4536",0,362,2022-07-11 22:32:34
ANALFABETO,90 a 94 anos,22613,6966,"0,3081",0,214,2022-07-11 22:32:34
ANALFABETO,95 a 99 anos,12082,1910,"0,1581",0,94,2022-07-11 22:32:34
ANALFABETO,Inválido,67,31,"0,4627",0,0,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,100 anos ou mais,167,20,"0,1198",0,2,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,16 anos,4111,0,0,15,23,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,17 anos,5008,7,"0,0014",22,25,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,18 anos,6471,1874,"0,2896",21,38,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,19 anos,7259,4323,"0,5955",15,53,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,20 anos,7118,4964,"0,6974",7,30,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,21 a 24 anos,31816,28733,"0,9031",25,89,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,25 a 29 anos,40778,36501,"0,8951",11,153,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,30 a 34 anos,46094,41203,"0,8939",10,140,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,35 a 39 anos,54108,49514,"0,9151",6,168,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,40 a 44 anos,53124,49425,"0,9304",12,195,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,45 a 49 anos,45928,43300,"0,9428",2,180,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,50 a 54 anos,41576,39505,"0,9502",3,227,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,55 a 59 anos,39864,38072,"0,955",5,230,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,60 a 64 anos,34360,33136,"0,9644",3,324,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,65 a 69 anos,25312,24545,"0,9697",0,473,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,70 a 74 anos,16054,15348,"0,956",1,389,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,75 a 79 anos,8262,7175,"0,8684",1,138,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,80 a 84 anos,4746,3757,"0,7916",0,94,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,85 a 89 anos,2232,1548,"0,6935",0,47,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,90 a 94 anos,1036,573,"0,5531",0,34,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,95 a 99 anos,407,120,"0,2948",0,15,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,Inválido,6,4,"0,6667",0,0,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,100 anos ou mais,477,68,"0,1426",0,5,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,16 anos,10392,1,"0,0001",23,109,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,17 anos,12665,15,"0,0012",17,159,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,18 anos,21356,8313,"0,3893",37,202,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,19 anos,33819,24106,"0,7128",42,177,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,20 anos,35947,28404,"0,7902",30,193,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,21 a 24 anos,199273,181947,"0,9131",57,674,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,25 a 29 anos,239387,203485,"0,85",43,1016,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,30 a 34 anos,254004,214372,"0,844",28,1030,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,35 a 39 anos,300900,263912,"0,8771",23,1117,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,40 a 44 anos,319528,292186,"0,9144",8,1132,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,45 a 49 anos,280284,262273,"0,9357",13,1289,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,50 a 54 anos,245938,233678,"0,9502",11,1303,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,55 a 59 anos,208378,200284,"0,9612",8,1273,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,60 a 64 anos,157242,152660,"0,9709",5,1254,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,65 a 69 anos,107209,104343,"0,9733",2,1664,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,70 a 74 anos,72504,69796,"0,9627",0,1219,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,75 a 79 anos,38678,34399,"0,8894",2,605,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,80 a 84 anos,20333,16498,"0,8114",1,304,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,85 a 89 anos,8638,6150,"0,712",0,148,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,90 a 94 anos,3752,2008,"0,5352",0,74,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,95 a 99 anos,1434,455,"0,3173",0,16,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,Inválido,30,25,"0,8333",0,0,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,100 anos ou mais,117,29,"0,2479",0,2,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,16 anos,1074,0,0,10,4,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,17 anos,5473,0,0,16,18,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,18 anos,32401,461,"0,0142",78,122,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,19 anos,38322,3541,"0,0924",110,204,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,20 anos,42735,17706,"0,4143",72,179,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,21 a 24 anos,229496,207758,"0,9053",156,361,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,25 a 29 anos,438738,425388,"0,9696",135,731,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,30 a 34 anos,420100,407646,"0,9704",75,778,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,35 a 39 anos,449599,437228,"0,9725",51,835,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,40 a 44 anos,394412,383910,"0,9734",43,866,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,45 a 49 anos,270470,263314,"0,9735",28,773,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,50 a 54 anos,206421,201153,"0,9745",21,753,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,55 a 59 anos,167713,163616,"0,9756",15,756,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,60 a 64 anos,125313,122429,"0,977",7,783,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,65 a 69 anos,83636,81870,"0,9789",8,1276,2022-07-11 22:32:34
