Escolaridade,Gênero,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
ANALFABETO,FEMININO,394201,301684,"0,7653",8,6431,2022-07-11 22:32:34
ANALFABETO,MASCULINO,379171,292297,"0,7709",16,7807,2022-07-11 22:32:34
ANALFABETO,NÃO INFORMADO,328,0,0,0,3,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,FEMININO,225319,202507,"0,8988",88,1407,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,MASCULINO,250514,221140,"0,8827",71,1660,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,4,0,0,0,0,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,1195199,1101410,"0,9215",165,6631,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,1376941,1197968,"0,87",185,8332,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,28,0,0,0,0,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,FEMININO,1729552,1620234,"0,9368",453,5349,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,MASCULINO,1263270,1176514,"0,9313",373,4821,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,NÃO INFORMADO,5,0,0,0,0,2022-07-11 22:32:34
ENSINO MÉDIO INCOMPLETO,FEMININO,878274,677347,"0,7712",561,2370,2022-07-11 22:32:34
ENSINO MÉDIO INCOMPLETO,MASCULINO,831009,638647,"0,7685",426,3024,2022-07-11 22:32:34
ENSINO MÉDIO INCOMPLETO,NÃO INFORMADO,4,0,0,0,0,2022-07-11 22:32:34
LÊ E ESCREVE,FEMININO,695059,615714,"0,8858",34,4851,2022-07-11 22:32:34
LÊ E ESCREVE,MASCULINO,777515,670008,"0,8617",38,5765,2022-07-11 22:32:34
LÊ E ESCREVE,NÃO INFORMADO,239,0,0,0,2,2022-07-11 22:32:34
NÃO INFORMADO,FEMININO,630,0,0,0,1,2022-07-11 22:32:34
NÃO INFORMADO,MASCULINO,608,0,0,0,3,2022-07-11 22:32:34
NÃO INFORMADO,NÃO INFORMADO,61,0,0,0,0,2022-07-11 22:32:34
SUPERIOR COMPLETO,FEMININO,568126,556687,"0,9799",67,1796,2022-07-11 22:32:34
SUPERIOR COMPLETO,MASCULINO,309225,299027,"0,967",60,1351,2022-07-11 22:32:34
SUPERIOR COMPLETO,NÃO INFORMADO,5,0,0,0,0,2022-07-11 22:32:34
SUPERIOR INCOMPLETO,FEMININO,241405,228239,"0,9455",86,584,2022-07-11 22:32:34
SUPERIOR INCOMPLETO,MASCULINO,174834,163101,"0,9329",63,584,2022-07-11 22:32:34
SUPERIOR INCOMPLETO,NÃO INFORMADO,2,0,0,0,0,2022-07-11 22:32:34
