Escolaridade,Gênero,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
ANALFABETO,FEMININO,8191,7660,"0,9352",1,814,2022-07-11 22:32:34
ANALFABETO,MASCULINO,4942,4273,"0,8646",1,749,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,FEMININO,47765,45029,"0,9427",23,754,2022-07-11 22:32:34
ENSINO FUNDAMENTAL COMPLETO,MASCULINO,48746,45988,"0,9434",18,769,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,FEMININO,174924,168773,"0,9648",48,2871,2022-07-11 22:32:34
ENSINO FUNDAMENTAL INCOMPLETO,MASCULINO,162712,153137,"0,9412",38,2641,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,FEMININO,409330,387131,"0,9458",148,2879,2022-07-11 22:32:34
ENSINO MÉDIO COMPLETO,MASCULINO,314597,296533,"0,9426",130,2163,2022-07-11 22:32:34
ENSINO MÉDIO INCOMPLETO,FEMININO,150105,121810,"0,8115",154,817,2022-07-11 22:32:34
ENSINO MÉDIO INCOMPLETO,MASCULINO,140800,114958,"0,8165",130,946,2022-07-11 22:32:34
LÊ E ESCREVE,FEMININO,34999,34174,"0,9764",5,1429,2022-07-11 22:32:34
LÊ E ESCREVE,MASCULINO,26966,25581,"0,9486",10,1108,2022-07-11 22:32:34
NÃO INFORMADO,FEMININO,1,0,0,0,1,2022-07-11 22:32:34
SUPERIOR COMPLETO,FEMININO,198055,195409,"0,9866",32,1248,2022-07-11 22:32:34
SUPERIOR COMPLETO,MASCULINO,124693,122188,"0,9799",24,851,2022-07-11 22:32:34
SUPERIOR INCOMPLETO,FEMININO,75020,71276,"0,9501",35,311,2022-07-11 22:32:34
SUPERIOR INCOMPLETO,MASCULINO,61352,57788,"0,9419",20,264,2022-07-11 22:32:34
